Proposal,"Call Order","Section Number","Section Description",Line,Item,"Alternate Code","Item Description",Quantity,Unit,"Vendor Name","Bidder ID","Unit Price",Extension,Deviation
B3CBA2302443-0,046,0001,ROADWAY,0005,150-1000,,"TRAFFIC CONTROL - M006067",1.00000,LS,"PEEK PAVEMENT MARKING, LLC",2PE100,"$88,000.00","$88,000.00",$0.00
B3CBA2302443-0,046,0001,ROADWAY,0005,150-1000,,"TRAFFIC CONTROL - M006067",1.00000,LS,"TRP CONSTRUCTION GROUP, LLC",00000000016448,"$190,000.00","$190,000.00","$102,000.00"
B3CBA2302443-0,046,0001,ROADWAY,0010,632-0003,,"CHANGEABLE MESSAGE SIGN, PORTABLE, TYPE 3",2.00000,EA,"PEEK PAVEMENT MARKING, LLC",2PE100,"$4,000.00","$8,000.00",$0.00
B3CBA2302443-0,046,0001,ROADWAY,0010,632-0003,,"CHANGEABLE MESSAGE SIGN, PORTABLE, TYPE 3",2.00000,EA,"TRP CONSTRUCTION GROUP, LLC",00000000016448,"$2,500.00","$5,000.00","-$3,000.00"
B3CBA2302443-0,046,0001,ROADWAY,0015,653-0293,,"THERMOPLASTIC PVMT MARKING, WORD, TP 12",2.00000,EA,"PEEK PAVEMENT MARKING, LLC",2PE100,"$1,000.00","$2,000.00",$0.00
B3CBA2302443-0,046,0001,ROADWAY,0015,653-0293,,"THERMOPLASTIC PVMT MARKING, WORD, TP 12",2.00000,EA,"TRP CONSTRUCTION GROUP, LLC",00000000016448,"$1,000.00","$2,000.00",$0.00
B3CBA2302443-0,046,0001,ROADWAY,0020,653-0294,,"THERMOPLASTIC PVMT MARKING, WORD, TP 13",2.00000,EA,"PEEK PAVEMENT MARKING, LLC",2PE100,"$1,000.00","$2,000.00",$0.00
B3CBA2302443-0,046,0001,ROADWAY,0020,653-0294,,"THERMOPLASTIC PVMT MARKING, WORD, TP 13",2.00000,EA,"TRP CONSTRUCTION GROUP, LLC",00000000016448,"$1,000.00","$2,000.00",$0.00
B3CBA2302443-0,046,0001,ROADWAY,0025,653-3810,,"THERMOPLASTIC SKIP TRAF STRIPE, 10 IN, WHITE","1,450.00000",GLF,"PEEK PAVEMENT MARKING, LLC",2PE100,$0.70,"$1,015.00",$0.00
B3CBA2302443-0,046,0001,ROADWAY,0025,653-3810,,"THERMOPLASTIC SKIP TRAF STRIPE, 10 IN, WHITE","1,450.00000",GLF,"TRP CONSTRUCTION GROUP, LLC",00000000016448,$0.75,"$1,087.50",$72.50
