Proposal,"Call Order","Section Number","Section Description",Line,Item,"Alternate Code","Item Description",Quantity,Unit,"Vendor Name","Bidder ID","Unit Price",Extension,Deviation
B3CBA2302443-0,046,0001,ROADWAY,0030,653-8025,,"WET WEATHER THERMOPLASTIC SOLID TRAFFIC STRIPE, 5 IN, WHITE",6.50000,LM,"PEEK PAVEMENT MARKING, LLC",2PE100,"$2,750.00","$17,875.00",$0.00
B3CBA2302443-0,046,0001,ROADWAY,0030,653-8025,,"WET WEATHER THERMOPLASTIC SOLID TRAFFIC STRIPE, 5 IN, WHITE",6.50000,LM,"TRP CONSTRUCTION GROUP, LLC",00000000016448,"$4,000.00","$26,000.00","$8,125.00"
B3CBA2302443-0,046,0001,ROADWAY,0035,653-8030,,"WET WEATHER THERMOPLASTIC SOLID TRAFFIC STRIPE, 5 IN, YELLOW",6.50000,LM,"PEEK PAVEMENT MARKING, LLC",2PE100,"$2,750.00","$17,875.00",$0.00
B3CBA2302443-0,046,0001,ROADWAY,0035,653-8030,,"WET WEATHER THERMOPLASTIC SOLID TRAFFIC STRIPE, 5 IN, YELLOW",6.50000,LM,"TRP CONSTRUCTION GROUP, LLC",00000000016448,"$4,000.00","$26,000.00","$8,125.00"
B3CBA2302443-0,046,0001,ROADWAY,0040,653-8050,,"WET WEATHER THERMOPLASTIC SKIP TRAFFIC STRIPE, 5 IN, WHITE",11.50000,GLM,"PEEK PAVEMENT MARKING, LLC",2PE100,"$1,800.00","$20,700.00",$0.00
B3CBA2302443-0,046,0001,ROADWAY,0040,653-8050,,"WET WEATHER THERMOPLASTIC SKIP TRAFFIC STRIPE, 5 IN, WHITE",11.50000,GLM,"TRP CONSTRUCTION GROUP, LLC",00000000016448,"$1,500.00","$17,250.00","-$3,450.00"
B3CBA2302443-0,046,0001,ROADWAY,0045,653-8075,,"WET WEATHER THERMOPLASTIC SOLID TRAFFIC STRIPE, 10 IN, WHITE","7,300.00000",LF,"PEEK PAVEMENT MARKING, LLC",2PE100,$1.05,"$7,665.00",$0.00
B3CBA2302443-0,046,0001,ROADWAY,0045,653-8075,,"WET WEATHER THERMOPLASTIC SOLID TRAFFIC STRIPE, 10 IN, WHITE","7,300.00000",LF,"TRP CONSTRUCTION GROUP, LLC",00000000016448,$2.00,"$14,600.00","$6,935.00"
B3CBA2302443-0,046,0001,ROADWAY,0050,654-1001,,"RAISED PVMT MARKERS TP 1",162.00000,EA,"PEEK PAVEMENT MARKING, LLC",2PE100,$6.50,"$1,053.00",$0.00
B3CBA2302443-0,046,0001,ROADWAY,0050,654-1001,,"RAISED PVMT MARKERS TP 1",162.00000,EA,"TRP CONSTRUCTION GROUP, LLC",00000000016448,$6.50,"$1,053.00",$0.00
B3CBA2302443-0,046,0001,ROADWAY,0055,654-1003,,"RAISED PVMT MARKERS TP 3","5,800.00000",EA,"PEEK PAVEMENT MARKING, LLC",2PE100,$6.50,"$37,700.00",$0.00
B3CBA2302443-0,046,0001,ROADWAY,0055,654-1003,,"RAISED PVMT MARKERS TP 3","5,800.00000",EA,"TRP CONSTRUCTION GROUP, LLC",00000000016448,$6.50,"$37,700.00",$0.00
B3CBA2302443-0,046,0001,ROADWAY,0060,657-5002,,"PREFORMED PLASTIC PAVEMENT MARKING, YELLOW, TP PB",315.00000,SY,"PEEK PAVEMENT MARKING, LLC",2PE100,$35.00,"$11,025.00",$0.00
B3CBA2302443-0,046,0001,ROADWAY,0060,657-5002,,"PREFORMED PLASTIC PAVEMENT MARKING, YELLOW, TP PB",315.00000,SY,"TRP CONSTRUCTION GROUP, LLC",00000000016448,$20.00,"$6,300.00","-$4,725.00"
B3CBA2302443-0,046,0001,ROADWAY,0065,657-9122,,"WET REFLECTIVE PREFORMED SOLID PAVEMENT MARKINGS, 10 INCH WIDE, WHITE","7,000.00000",LF,"PEEK PAVEMENT MARKING, LLC",2PE100,$8.00,"$56,000.00",$0.00
B3CBA2302443-0,046,0001,ROADWAY,0065,657-9122,,"WET REFLECTIVE PREFORMED SOLID PAVEMENT MARKINGS, 10 INCH WIDE, WHITE","7,000.00000",LF,"TRP CONSTRUCTION GROUP, LLC",00000000016448,$11.00,"$77,000.00","$21,000.00"
B3CBA2302443-0,046,0001,ROADWAY,0070,657-9211,,"WET REFLECTIVE PREFORMED SOLID PAVEMENT MARKINGS, 5 INCH WIDE, YELLOW",17.00000,LM,"PEEK PAVEMENT MARKING, LLC",2PE100,"$21,000.00","$357,000.00",$0.00
B3CBA2302443-0,046,0001,ROADWAY,0070,657-9211,,"WET REFLECTIVE PREFORMED SOLID PAVEMENT MARKINGS, 5 INCH WIDE, YELLOW",17.00000,LM,"TRP CONSTRUCTION GROUP, LLC",00000000016448,"$35,000.00","$595,000.00","$238,000.00"
B3CBA2302443-0,046,0001,ROADWAY,0075,657-9230,,"WET REFLECTIVE PREFORMED SOLID PAVEMENT MARKINGS, 8 IN, CONTRAST (BLACK-WHITE)",17.00000,LM,"PEEK PAVEMENT MARKING, LLC",2PE100,"$34,500.00","$586,500.00",$0.00
B3CBA2302443-0,046,0001,ROADWAY,0075,657-9230,,"WET REFLECTIVE PREFORMED SOLID PAVEMENT MARKINGS, 8 IN, CONTRAST (BLACK-WHITE)",17.00000,LM,"TRP CONSTRUCTION GROUP, LLC",00000000016448,"$55,000.00","$935,000.00","$348,500.00"
B3CBA2302443-0,046,0001,ROADWAY,0080,657-9410,,"WET REFLECTIVE PREFORMED SKIP PAVEMENT MARKINGS, 5 INCH WIDE, WHITE",17.00000,GLM,"PEEK PAVEMENT MARKING, LLC",2PE100,"$8,500.00","$144,500.00",$0.00
B3CBA2302443-0,046,0001,ROADWAY,0080,657-9410,,"WET REFLECTIVE PREFORMED SKIP PAVEMENT MARKINGS, 5 INCH WIDE, WHITE",17.00000,GLM,"TRP CONSTRUCTION GROUP, LLC",00000000016448,"$12,000.00","$204,000.00","$59,500.00"
B3CBA2302443-0,046,0001,ROADWAY,0085,657-9413,,"WET REFLECTIVE PREFORMED SKIP PAVEMENT MARKINGS, 5 INCH WIDE, BLACK",17.00000,GLM,"PEEK PAVEMENT MARKING, LLC",2PE100,"$8,500.00","$144,500.00",$0.00
B3CBA2302443-0,046,0001,ROADWAY,0085,657-9413,,"WET REFLECTIVE PREFORMED SKIP PAVEMENT MARKINGS, 5 INCH WIDE, BLACK",17.00000,GLM,"TRP CONSTRUCTION GROUP, LLC",00000000016448,"$12,000.00","$204,000.00","$59,500.00"
B3CBA2302443-0,046,0001,ROADWAY,0090,657-9435,,"WET REFLECTIVE PREFORMED SKIP PVMT MARKING, 10 IN, WHITE, TP PB-WR","3,935.00000",GLF,"PEEK PAVEMENT MARKING, LLC",2PE100,$4.00,"$15,740.00",$0.00
B3CBA2302443-0,046,0001,ROADWAY,0090,657-9435,,"WET REFLECTIVE PREFORMED SKIP PVMT MARKING, 10 IN, WHITE, TP PB-WR","3,935.00000",GLF,"TRP CONSTRUCTION GROUP, LLC",00000000016448,$4.00,"$15,740.00",$0.00
